CURRENT_LANGUAGE,English,Français,Italiano,Deutsch,Español (España),Español (LatAm),Português (BR),Русский,Українська,简体中文,繁体中文,日本語,한국어,Polski,Türkçe,ENDLINE
UNNAMED_ITEM,UNNAMED #,# INNOMMÉ,# SENZA NOME,UNBENANNTE #,# SIN NOMBRE,# SIN NOMBRE,# SEM NOME,БЕЗЫМЯННЫЙ #,БЕЗІМЕННИЙ #,无名#,無名#,名前のな#,이름 없는 #,BEZIMIENNY #,İSİMSİZ #,ENDLINE
NAME_ANTIFREEZE,WINDSHIELD WASHER FLUID,LIQUIDE LAVE-GLACE,LIQUIDO LAVAVETRI,SCHEIBENWASCHFLÜSSIGKEIT,LÍQUIDO LIMPIAPARABRISAS,LÍQUIDO LIMPIAPARABRISAS,LÍQUIDO DE PARA-BRISA,СТЕКЛООМЫВАЮЩАЯ ЖИДКОСТЬ,СКЛООМИВАЮЧА РІДИНА,风挡液,風擋液,フロントガラス洗浄液,윈드실드 와셔액,PŁYN DO SPRYSKIWACZY,CAM SUYU,ENDLINE
NAME_LAUNDRY DETERGENT,LAUNDRY DETERGENT,LESSIVE,DETERSIVO PER BUCATO,WASCHMITTEL,DETERGENTE PARA LA ROPA,DETERGENTE PARA ROPA,DETERGENTE PARA ROUPA,СТИРАЛЬНЫЙ ПОРОШОК,ПРАЛЬНИЙ ПОРОШОК,洗衣液,洗衣液,洗濯洗剤,세탁 세제,PROSZEK DO PRANIA,ÇAMAŞIR DETERJANI,ENDLINE
WASH,wash yourself,se nettoyer,lavarsi,wasch dich,lávate,lávate,lave-se,помыться,помится,洗一洗自己,洗一洗自己,体を洗う,몸을 씻기,umyj się,kendi̇ni̇ yika,ENDLINE
WASH #TARGETCHAR,wash #targetchar,nettoyer #targetchar,lava #targetchar,wasch #targetchar,limpia #targetchar,limpia #targetchar,lave #targetchar,вымой #targetchar,вимий #targetchar,洗#targetchar,洗#targetchar,#targetcharを洗え,#targetchar을 씻어라,umyj #targetchar,#targetchar yika,ENDLINE
TAKE BAG,take a bag,prendre un sac,prendi un sacco,nimm einen Müllsack,toma una bolsa,toma una bolsa,pegue um saco,ВОЗЬМИ МЕШОК,ВІЗЬМИ МІШОК,拿一个垃圾袋,拿一個垃圾袋,ゴミ袋を取る,쓰레기 봉투를 집어,wez worek,bir torbası al,ENDLINE
GIVE BAG TO #TARGETCHAR,give a bag to #targetchar,donner un sac à #targetchar,dai un sacco a #targetchar,gib #targetchar einen Müllsack,da una bolsa a #targetchar,dale una bolsa a #targetchar,dê um saco para #targetchar,дай #targetchar мешок,Дай #targetchar мішок,给#targetchar袋子,給#targetchar袋子,#targetcharに袋を渡す,#targetchar에 봉투 줘,daj worek #targetchar,#targetchar'e bir çanta ver,ENDLINE
NAME_GARBAGE BAG,GARBAGE BAG,SAC-POUBELLE,SACCO DELLA SPAZZATURA,MÜLLSACK,BOLSA DE BASURA,BOLSA DE BASURA,SACO DE LIXO,МЕШОК ДЛЯ МУСОРА,ПАКЕТ ДЛЯ СМІТТЯ,垃圾袋,垃圾袋,ゴミ袋,쓰레기 봉투,WOREK NA ŚMIECI,ÇÖP TORBASI,ENDLINE
NAME_GARBAGE BAG BOX,GARBAGE BAG BOX,BOÎTE DE SACS-POUBELLE,SCATOLA DI SACCHI DELLA SPAZZATURA,KARTON MIT MÜLLSÄCKEN,CAJA DE BOLSAS DE BASURA,CAJA DE BOLSAS DE BASURA,CAIXA DE SACOS DE LIXO,КОРОБКА С МЕШКАМИ ДЛЯ МУСОРА,КОРОБКА З ПАКЕТАМИ ДЛЯ СМІТТЯ,垃圾袋盒,垃圾袋盒,ゴミ袋の箱,쓰레기 봉투 상자,PUDEŁKO WORKÓW NA ŚMIECI,ÇÖP TORBASI KUTUSU,ENDLINE
KIOSK_READY_TEXT,#modname LOADED AND READY TO GO! \n\nVERSION #version,#modname CHARGÉ ET PRÊT! \n\nVERSION #version,#modname CARICATO E PRONTO! \n\nVERSIONE #version,#modname GELADEN UND BEREIT! \n\nVERSION #version,¡#modname CARGADO Y LISTO! \n\nVERSIÓN #version,¡#modname CARGADO Y LISTO! \n\nVERSIÓN #version,#modname CARREGADO E PRONTO! \n\nVERSÃO #version,#modname ЗАГРУЖЕН И ГОТОВ! \n\nВЕРСИЯ #version,#modname ЗАВАНТАЖЕНО ТА ГОТОВО! \n\nВЕРСІЯ #version,#modname已加载完成，准备就绪！ \n\n版本#version,#modname已載入完成，準備就緒！ \n\n版本#version,#modname読み込み完了、準備完了！ \n\nバージョン#version,#modname 로드 완료! 준비 완료! \n\n버전#version,#modname ZAŁADOWANY I GOTOWY! \n\nWERSJA #version,#modname YÜKLENDİ VE HAZIR! \n\nSÜRÜM #version,ENDLINE
